"","Delta","Theta","Alpha1","Alpha2","Beta1","Beta2","Gamma1","Gamma2","time"
"1",1059448,249948,18325,3949,26719,23136,12149,9305,1
"2",1488286,168284,17527,18168,8152,14999,6209,4544,2
"3",217499,139523,19316,27980,22420,11055,10217,3652,3
"4",1608062,172682,75172,52248,31297,19632,4324,2904,4
"5",7461,6171,1669,2921,11827,4436,2699,1333,5
"6",272737,229627,89721,17408,11363,16628,7794,4309,6
"7",35766,15756,6363,8625,5042,5603,5395,3352,7
"8",38841,22798,6284,5251,8604,7162,1243,969,8
"9",375495,156172,10748,18942,17871,10905,2284,1935,9
"10",919696,71037,22445,26680,27445,10093,6142,5906,10
"11",16021,18130,5404,9924,9035,4513,1994,7190,11
"12",118399,179189,59236,27537,25484,19512,8103,5197,12
"13",218961,19311,28518,13580,6543,8509,2931,4377,13
"14",123047,56652,20498,3311,7622,8739,1292,1987,14
"15",1727727,406539,129328,39850,58684,16609,9256,5044,15
"16",1757261,141818,55386,62396,29006,19883,5236,7482,16
"17",334896,74884,9690,48724,12415,8012,3260,6042,17
"18",7742,6786,12068,4004,4994,4978,4429,3712,18
"19",783725,271039,26149,11547,26556,14904,5077,4026,19
"20",1380480,111922,70703,101025,56292,25170,4155,11971,20
"21",499368,89696,34307,21462,7999,13533,5610,4707,21
"22",342695,65025,15153,18551,4150,5058,1987,1801,22
"23",398782,121676,64539,17028,16761,6827,10849,5148,23
"24",298208,64839,17585,6749,7089,5221,1448,1118,24
"25",570013,114221,15169,10537,7559,11602,7536,4489,25
"26",398617,42956,8121,38526,28185,7122,6971,4362,26
"27",66716,40591,12176,7137,16115,6660,7072,3569,27
"28",189797,207791,10523,19734,11713,11025,5973,1353,28
"29",461159,241158,5052,31453,11665,17669,4074,5319,29
"30",111165,170206,74761,17937,5334,11385,5414,2527,30
"31",469115,185567,145427,26194,40786,7320,3178,5669,31
"32",166044,92139,56583,18574,25115,27035,3625,4472,32
"33",144275,20411,8911,1721,7264,6637,1467,2081,33
"34",392528,59830,18049,55072,11738,13098,7565,3350,34
"35",682066,71885,46160,74770,30210,11935,6328,9331,35
"36",44859,14160,1882,2454,2853,2105,1311,1222,36
"37",390884,235445,18790,9204,10884,10025,4655,2931,37
"38",865663,151712,8963,10233,6511,9390,20834,5153,38
"39",741232,42518,10024,6828,14645,12946,6609,5273,39
"40",373096,251538,16512,15781,5467,6485,9246,1809,40
"41",69696,18638,6298,16823,14719,7350,2372,1994,41
"42",194674,26768,41971,32067,36232,12072,7502,7853,42
"43",1183791,123587,24070,25945,25630,36222,9149,6633,43
"44",759365,144092,28779,41761,70338,9947,19223,3387,44
"45",183226,48556,15817,35034,13739,6470,1962,765,45
"46",108298,126769,93360,21066,13364,14784,7042,8237,46
"47",20480,6206,12519,4583,22062,4673,2664,2875,47
"48",97141,6756,936,11686,2645,2655,938,835,48
"49",231500,43328,13482,13368,10868,3715,1518,953,49
"50",1683681,1421442,106649,40709,87463,13096,6428,19696,50
"51",22712,164996,43897,26674,50514,15171,6375,4753,51
"52",2810688,479648,48953,45665,34177,19491,3660,5289,52
"53",178261,168589,16628,63200,19349,15197,6904,3535,53
"54",221551,33637,14234,3313,4975,6739,860,871,54
"55",151558,46268,2896,5285,5716,1736,2216,2725,55
"56",18151,260624,59754,55280,19097,24818,9383,6594,56
"57",1951755,365679,22304,36605,37729,40776,17672,16641,57
"58",1271388,417032,10141,31565,31218,7000,16751,4273,58
"59",470069,321531,92086,37495,22127,10177,8020,3573,59
"60",1149507,609238,126065,12702,26278,26838,11327,7762,60
"61",916344,103970,33289,32542,18418,9517,10933,6392,61
"62",138052,58256,23589,3196,3945,2587,1182,538,62
"63",127343,45846,8712,7064,5262,5835,1392,488,63
"64",54147,112057,13584,28161,26785,8105,3363,3166,64
"65",1029055,197912,5769,14084,29322,16200,7584,3575,65
"66",526977,69083,17090,9624,24451,12301,4609,3362,66
"67",134428,49313,2521,9173,7198,14535,3253,4228,67
"68",227964,186145,15379,31299,17719,12473,2326,3358,68
"69",450773,218223,7564,4700,9719,12061,4125,1658,69
"70",49887,21179,20798,8823,17880,7135,2388,2651,70
"71",241636,312943,38131,43126,25546,11940,3889,968,71
"72",113401,21317,6335,2974,5439,1258,1012,446,72
"73",130525,52344,15970,7449,13104,2222,2340,1240,73
"74",296474,207502,183762,14598,41078,26933,5075,2870,74
"75",386028,35427,29966,32143,14816,16233,7382,4590,75
"76",628336,278961,14053,24807,34708,55147,14225,14629,76
"77",1409567,528843,120763,148832,32574,86415,10209,6226,77
"78",1778703,30463,15988,4508,3610,1861,3799,939,78
"79",577772,493548,89835,29440,20348,20511,10071,3866,79
"80",603264,186088,15201,32104,51784,36788,10749,4225,80
"81",1614340,186523,136515,36234,89974,27998,10960,7344,81
"82",768018,46415,26047,9045,11171,3958,2398,600,82
"83",235550,229941,90271,35019,15173,14136,4518,2668,83
"84",1110441,176376,24802,18638,13734,20552,5784,3797,84
"85",216457,77985,15620,11453,12594,4775,3328,1125,85
"86",165908,128843,58255,26524,17274,13992,3883,8664,86
"87",360271,35268,9912,38614,16899,9305,1601,1208,87
"88",35044,24443,5504,17467,27651,14227,9959,8380,88
"89",230953,42785,6315,1577,2458,1424,502,390,89
"90",256321,130331,34822,9796,16492,33625,4707,4028,90
"91",649812,338432,239942,19075,41893,37413,8061,5160,91
"92",1384122,90207,62453,77291,88897,24854,6150,1495,92
"93",85456,72452,11132,22708,14161,10235,5086,2468,93
"94",266413,89613,27568,11740,9606,26587,2073,2008,94
"95",302754,127289,28442,4378,8422,6755,3406,3698,95
"96",776171,373237,68675,28646,72253,9033,4319,2476,96
"97",351295,225231,24711,54274,10138,14012,2285,1168,97
"98",1313464,393203,34785,18743,31378,19138,9796,5072,98
"99",57419,32722,9655,4257,3851,1655,428,876,99
"100",215198,132470,45120,15445,10557,7939,5478,2286,100
"101",128334,52003,17654,6395,6052,8201,1020,555,101
"102",103814,42820,37601,54070,29516,10262,3279,2108,102
"103",371141,27312,7589,39798,7617,17153,4128,2645,103
"104",920866,395746,178877,14866,69159,21859,15222,6873,104
"105",745143,35249,21114,7754,10362,8334,4046,675,105
"106",68660,45311,24026,12152,15925,8913,1347,913,106
"107",237603,39000,7677,22192,3217,1489,1724,535,107
"108",6357,28325,14264,3494,4611,3522,3563,3763,108
"109",93555,166304,22499,26584,9347,11125,3215,2439,109
"110",48903,23743,15845,7104,4354,1568,987,933,110
"111",295818,308262,30661,19647,16998,7133,3480,1425,111
"112",223126,116773,20547,15982,27519,4028,2788,3310,112
"113",178847,102734,80687,13898,7696,13889,1008,686,113
"114",567049,190184,4291,22711,20788,7520,2282,2109,114
"115",180482,17286,10824,6837,6053,3680,1166,466,115
"116",225985,57503,56810,12837,16557,11076,6213,2872,116
"117",635509,41494,4521,6373,9546,7088,3535,1869,117
"118",87002,17115,3053,3413,2708,1717,1405,933,118
"119",766219,51344,1791,10089,3843,4834,1688,516,119
"120",155814,30089,21955,28626,4159,10505,1443,8133,120
"121",43705,9356,13850,12102,9626,6805,4954,1781,121
"122",96380,14560,499,5700,11121,1610,975,925,122
"123",2024061,304325,99980,152857,53766,32481,8639,5881,123
"124",700480,76297,55637,31134,30300,26620,4438,1318,124
"125",538632,570730,5217,9279,37162,23884,6753,2917,125
"126",1152084,402602,27567,16160,39795,31273,7776,4694,126
"127",36665,11762,13486,2123,85164,7712,3806,2516,127
"128",275809,109010,18863,14837,29138,11924,6362,3915,128
"129",324559,30060,12870,9964,5527,11518,4495,1367,129
"130",78067,14548,6173,7159,7570,4911,1045,982,130
"131",430640,22108,21820,31468,8298,11081,4293,3049,131
"132",604964,292863,35111,58122,48169,12865,6604,7221,132
"133",260929,36611,21107,19631,5162,2294,2586,1310,133
"134",156004,77470,4381,15831,11053,3335,1205,1069,134
"135",41014,55258,29234,14054,17330,3450,1521,1063,135
"136",924310,61604,24839,9066,12899,3651,2921,1517,136
"137",386440,236277,38047,14240,12956,17253,5690,4298,137
"138",85966,74359,31293,13767,7630,10014,8293,5243,138
"139",282707,125852,10584,6896,7944,10310,2985,3523,139
"140",13492,10590,9406,2609,10789,8904,2817,2928,140
"141",342064,172490,10492,22896,9644,10329,5588,1745,141
"142",37628,42657,26248,22752,12344,16329,4983,2494,142
